year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,5.7961740308109
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Indlæggelse,0,1.09634551495017
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Indlæggelse,1,0.175029868578256
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.3315625
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Psykiatrien_Indlæggelse,1,0.678571428571429
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Indlæggelse,1,0.654503990877993
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.25531914893617
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Aktiv,Psykiatrien_Indlæggelse,1,0.102240896358543
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Diabetes II_Med Komplikationer,50-65 år,Kvinde,Faglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Diabetes II_Med Komplikationer,50-65 år,Kvinde,Faglært,Inaktiv,Psykiatrien_Indlæggelse,1,3.03703703703704
-2,Diabetes II_Med Komplikationer,50-65 år,Kvinde,Faglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Indlæggelse,1,0.034256301029464
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.413984250469869
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Psykiske Lidelser_Moderat,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Psykiske Lidelser_Moderat,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.993127147766323
-2,Cancer_Lunge,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.322674418604651
-2,Psykiske Lidelser_Moderat,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Psykiske Lidelser_Svær,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Psykiske Lidelser_Svær,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Indlæggelse,1,21.7654320987654
-2,Psykiske Lidelser_Svær,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Psykiske Lidelser_Mild,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Psykiske Lidelser_Mild,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,1.7556512378902
-2,Psykiske Lidelser_Mild,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Diabetes I_Uden Komplikationer,18-49 år,Kvinde,Ufaglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Diabetes I_Uden Komplikationer,18-49 år,Kvinde,Ufaglært,Aktiv,Psykiatrien_Indlæggelse,1,1.71428571428571
-2,Diabetes I_Uden Komplikationer,18-49 år,Kvinde,Ufaglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Videregående Uddannelse,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Videregående Uddannelse,Udenfor,Psykiatrien_Indlæggelse,1,0.390964863357501
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Videregående Uddannelse,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Indlæggelse,1,0.552354181307098
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Videregående Uddannelse,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Videregående Uddannelse,Inaktiv,Psykiatrien_Indlæggelse,1,0.0985221674876847
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Videregående Uddannelse,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Psykiske Lidelser_Mild,18-49 år,Kvinde,Faglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Psykiske Lidelser_Mild,18-49 år,Kvinde,Faglært,Inaktiv,Psykiatrien_Indlæggelse,1,3.40577716643741
-2,Psykiske Lidelser_Mild,18-49 år,Kvinde,Faglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Inaktiv,Psykiatrien_Indlæggelse,1,0.0200445434298441
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Faglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Cancer_Bryst,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
