year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Somatikken_Ambulant,0,0.00996677740863787
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Somatikken_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,1,0.005
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Somatikken_Ambulant,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.033096926713948
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Aktiv,Somatikken_Ambulant,1,0.00455182072829132
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Aktiv,Somatikken_Skadestue,1,0
-2,Diabetes II_Med Komplikationer,50-65 år,Kvinde,Faglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Diabetes II_Med Komplikationer,50-65 år,Kvinde,Faglært,Inaktiv,Somatikken_Indlæggelse,1,0
