x
alder_18-49 år
alder_50-65 år
alder_65+ år
køn_Kvinde
køn_Mand
uddannelse_Videregående Uddannelse
uddannelse_Faglært
uddannelse_Ufaglært
arbejdsmarked_Aktiv
arbejdsmarked_Inaktiv
arbejdsmarked_Udenfor
